用户名,房间类型,入住时间,评论内容,评论时间
M291378****,经典大床房,2025-04-01,前台接待服务很好，尤其是小黄，效率很高，房间很大很干净，戴森的吹风机，洗护用品很棒，隔壁就是南洋商场，吃喝很方便，很不错的一次体验！,2025-04-06
GDFEKLnut～@2458,宋雅大床房,2025-03-01,首先一进入酒店有一种木香环绕，早餐水果区很足份。早餐粥类只有白粥与南瓜粥偏少，可以适当的增加，西点区的糕点只有两种，早餐像包子一类的种类偏少。房型布局整体还是可以，只是迎宾水果偏少，只有两个橙子，整体来说还是很满意的离店时送了龙珠普洱茶。,2025-03-24
狼在天涯（中国）,经典大床房,2025-04-01,酒店大堂像个茶室，电梯入口是个拱形门，有个大的LED屏，氛围不错，房间是什么样的没有印象了房间面积尚可，设施配套及设计没有特别出众，吹风机用的戴森的，不错，前台服务员￼不够灵活，在处理顾客需求时比较教条。￼有待提高。周边商业比较萧条。,2025-04-18
匿名用户,豪华大床房,2025-03-01,"房间设施:入住三晚11层雅玥睡觉安静,房间洗手液洗发液都是木香味的,从大堂到房间都是木色木韵。尤其赞的是这个泡脚池,晚上房间泡泡很舒坦,加分项[强]
禧玥离地铁11号线近,吃饭也方便。酒店楼下就是南洋1931商场，商场侧门对着还有沪西老弄堂面馆。徐汇站11号线是大站,我第一次打车定位的是1号口,下去发现是老的破旧入口,要在下边走1公里多才能到安检处。再定位就有经验了,定了18号口下了扶梯就安检,这口旁边是恒隆广场。",2025-03-24
开花钱的小怪兽丶,静雅大床房,2025-04-01,酒店环境很不错，房间干净，早餐也很丰盛，装修风格很喜欢，很高级典雅的感觉。地理位置也不错，交通出行都很方便,2025-04-28
maomao30955,经典大床房,2025-04-01,是朋友推荐的酒店，从高铁站过去交通非常方便。房间整洁，环境安静，服务也很不错，周边交通餐饮都非常方便，下次还会入住。,2025-04-28
甜心Grace,高级大床房,2025-04-01,酒店服务特别好，房间干净整洁明亮，房间设施齐全新，早餐也很好，价格合理，大堂明亮舒适温馨，坐在那休息服务人员还会泡茶,2025-04-10
匿名用户,经典大床房,2025-01-01,"随便定的，以后这种设计师酒店慎选
也许之前很好，现在硬件太差啦，地板都是坑电梯里也不怎么样
服务：服务是真的好，前台很热情
卫生：没看出太大问题
环境：周边应该很方便
Minibar每天首轮: 这个很好
有一说一早餐厅真的很干净，服务也很好，种类不多但是够了",2025-01-21
M16717****,豪华大床房,2025-03-01,房间舒适度还是不错的，一如既往的好，这次还有个套餐尝试午饭，也挺不错的,2025-03-24
170397****,豪华双床房,2024-12-01,"前台服务很好，酒店应该是开了暖气，非常非常热，晚上没办法开了窗户睡的。携程订的没有在华住会定，白金卡也没能送早餐,这点是有点遗憾的。之前在他家吃过早餐还挺满意。",2024-12-22
M291378****,经典大床房,2025-04-01,前台接待服务很好，尤其是小黄，效率很高，房间很大很干净，戴森的吹风机，洗护用品很棒，隔壁就是南洋商场，吃喝很方便，很不错的一次体验！,2025-04-06
GDFEKLnut～@2458,宋雅大床房,2025-03-01,首先一进入酒店有一种木香环绕，早餐水果区很足份。早餐粥类只有白粥与南瓜粥偏少，可以适当的增加，西点区的糕点只有两种，早餐像包子一类的种类偏少。房型布局整体还是可以，只是迎宾水果偏少，只有两个橙子，整体来说还是很满意的离店时送了龙珠普洱茶。,2025-03-24
狼在天涯（中国）,经典大床房,2025-04-01,酒店大堂像个茶室，电梯入口是个拱形门，有个大的LED屏，氛围不错，房间是什么样的没有印象了房间面积尚可，设施配套及设计没有特别出众，吹风机用的戴森的，不错，前台服务员￼不够灵活，在处理顾客需求时比较教条。￼有待提高。周边商业比较萧条。,2025-04-18
匿名用户,豪华大床房,2025-03-01,"房间设施:入住三晚11层雅玥睡觉安静,房间洗手液洗发液都是木香味的,从大堂到房间都是木色木韵。尤其赞的是这个泡脚池,晚上房间泡泡很舒坦,加分项[强]
禧玥离地铁11号线近,吃饭也方便。酒店楼下就是南洋1931商场，商场侧门对着还有沪西老弄堂面馆。徐汇站11号线是大站,我第一次打车定位的是1号口,下去发现是老的破旧入口,要在下边走1公里多才能到安检处。再定位就有经验了,定了18号口下了扶梯就安检,这口旁边是恒隆广场。",2025-03-24
